M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,4.279902,4.048556
384.000000,384.000000,384.000000,11.059200,11.024748
512.000000,512.000000,512.000000,26.214401,21.845333
640.000000,640.000000,640.000000,51.200001,36.408890
768.000000,768.000000,768.000000,88.197981,53.620363
896.000000,896.000000,896.000000,87.808000,70.246402
1024.000000,1024.000000,1024.000000,120.051633,94.920596
1152.000000,1152.000000,1152.000000,150.120166,114.570129
1280.000000,1280.000000,1280.000000,166.546379,136.533337
1408.000000,1408.000000,1408.000000,209.431972,160.493864
1536.000000,1536.000000,1536.000000,236.669188,186.260219
1664.000000,1664.000000,1664.000000,281.216001,214.259811
1792.000000,1792.000000,1792.000000,193.678814,225.563851
1920.000000,1920.000000,1920.000000,221.738340,235.803842
2048.000000,2048.000000,2048.000000,247.064385,189.372460
2176.000000,2176.000000,2176.000000,279.373844,173.386300
2304.000000,2304.000000,2304.000000,306.254780,192.547081
2432.000000,2432.000000,2432.000000,270.301522,212.786483
2560.000000,2560.000000,2560.000000,256.000001,230.557599
2688.000000,2688.000000,2688.000000,275.563644,234.245045
2816.000000,2816.000000,2816.000000,298.855376,224.797404
2944.000000,2944.000000,2944.000000,329.154400,209.408843
3072.000000,3072.000000,3072.000000,282.233541,224.694859
3200.000000,3200.000000,3200.000000,288.288285,240.601514
3328.000000,3328.000000,3328.000000,281.319016,239.896013
3456.000000,3456.000000,3456.000000,293.569665,225.199917
3584.000000,3584.000000,3584.000000,288.262541,229.376007
3712.000000,3712.000000,3712.000000,302.719215,238.569725
3840.000000,3840.000000,3840.000000,299.301767,242.601137
3968.000000,3968.000000,3968.000000,293.304734,237.256420
4096.000000,4096.000000,4096.000000,310.666706,244.908900
4224.000000,4224.000000,4224.000000,301.770421,239.388838
4352.000000,4352.000000,4352.000000,302.540159,243.186087
4480.000000,4480.000000,4480.000000,312.431871,239.615913
4608.000000,4608.000000,4608.000000,305.505084,237.690266
4736.000000,4736.000000,4736.000000,306.915208,239.578157
4864.000000,4864.000000,4864.000000,304.405248,242.634862
4992.000000,4992.000000,4992.000000,308.865052,194.434830
5120.000000,5120.000000,5120.000000,261.992532,180.851331
5248.000000,5248.000000,5248.000000,311.579123,184.325603
5376.000000,5376.000000,5376.000000,237.243780,187.265935
5504.000000,5504.000000,5504.000000,124.011756,190.191109
5632.000000,5632.000000,5632.000000,100.812053,191.383839
5760.000000,5760.000000,5760.000000,175.767609,193.924972
5888.000000,5888.000000,5888.000000,255.487507,199.943955
6016.000000,6016.000000,6016.000000,236.528076,193.825420
6144.000000,6144.000000,6144.000000,119.226633,202.188693
6272.000000,6272.000000,6272.000000,141.849132,204.796902
6400.000000,6400.000000,6400.000000,128.743791,205.135905
6528.000000,6528.000000,6528.000000,131.441597,206.811282
6656.000000,6656.000000,6656.000000,135.798103,209.543523
6784.000000,6784.000000,6784.000000,141.163582,210.348465
6912.000000,6912.000000,6912.000000,152.132986,213.882450
7040.000000,7040.000000,7040.000000,145.124788,197.242258
7168.000000,7168.000000,7168.000000,161.321079,193.449316
7296.000000,7296.000000,7296.000000,158.367479,197.743571
7424.000000,7424.000000,7424.000000,165.927355,195.594009
7552.000000,7552.000000,7552.000000,156.114884,196.985419
7680.000000,7680.000000,7680.000000,161.467046,196.106160
7808.000000,7808.000000,7808.000000,170.396789,202.573491
7936.000000,7936.000000,7936.000000,156.189856,202.823260
8064.000000,8064.000000,8064.000000,125.728536,200.331056
