size,Triton,Torch
4096.000000,8.878613,8.041885
8192.000000,16.083770,15.999999
16384.000000,31.999999,31.999999
32768.000000,63.999998,63.999998
65536.000000,127.999995,127.999995
131072.000000,253.360834,255.999991
262144.000000,385.505895,387.023602
524288.000000,756.184613,765.011652
1048576.000000,1032.063017,1023.999964
2097152.000000,1358.259103,1342.034175
4194304.000000,1295.604562,1296.672670
8388608.000000,1403.090051,1403.090051
16777216.000000,1466.198142,1465.003148
33554432.000000,1489.895460,1489.278204
67108864.000000,1502.526941,1505.132955
134217728.000000,466.792312,806.959033
